Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11
Ariquemes; 50 123 ; 28 179 ; 21 943 ;  1 207,58 ;  1 349,38 ;  1 025,48 ;   700,00 ;   800,00 ;   510,00 ;1100023
Área 001; 9 769 ; 5 183 ; 4 586 ;  1 822,21 ;  2 167,50 ;  1 432,02 ;  1 000,00 ;  1 200,00 ;   800,00 ;1100023003001
Área 002; 9 076 ; 5 406 ; 3 670 ;  1 131,17 ;  1 323,46 ;   847,90 ;   650,00 ;   800,00 ;   510,00 ;1100023003002
Área 003; 15 097 ; 8 632 ; 6 465 ;   829,98 ;   939,79 ;   683,35 ;   550,00 ;   693,00 ;   510,00 ;1100023003003
Área 004; 16 180 ; 8 959 ; 7 222 ;  1 231,68 ;  1 286,37 ;  1 163,84 ;   700,00 ;   800,00 ;   510,00 ;1100023003004
Buritis; 17 253 ; 9 812 ; 7 441 ;   830,25 ;   971,49 ;   644,01 ;   510,00 ;   600,00 ;   510,00 ;1100452
Área 001; 9 838 ; 5 464 ; 4 374 ;   928,17 ;  1 115,83 ;   693,76 ;   560,00 ;   700,00 ;   510,00 ;1100452003001
Área 002; 7 415 ; 4 348 ; 3 067 ;   700,35 ;   790,13 ;   573,07 ;   510,00 ;   560,00 ;   510,00 ;1100452003002
Cacoal; 44 483 ; 23 841 ; 20 641 ;  1 268,63 ;  1 597,36 ;   888,94 ;   620,00 ;   800,00 ;   510,00 ;1100049
Área 001; 6 469 ; 3 622 ; 2 847 ;   708,68 ;   855,42 ;   522,02 ;   510,00 ;   510,00 ;   510,00 ;1100049003001
Área 002; 11 231 ; 6 183 ; 5 048 ;   897,98 ;  1 079,12 ;   676,13 ;   550,00 ;   700,00 ;   510,00 ;1100049003002
Área 003; 12 647 ; 6 627 ; 6 020 ;  1 856,07 ;  2 549,75 ;  1 092,39 ;   800,00 ;  1 000,00 ;   622,00 ;1100049003003
Área 004; 14 136 ; 7 410 ; 6 726 ;  1 293,78 ;  1 540,58 ;  1 021,89 ;   700,00 ;   800,00 ;   540,00 ;1100049003004
Guajará-Mirim; 19 899 ; 10 699 ; 9 200 ;   976,53 ;  1 153,64 ;   770,57 ;   540,00 ;   660,00 ;   510,00 ;1100106
Área 001; 8 351 ; 4 350 ; 4 001 ;  1 183,19 ;  1 366,03 ;   984,38 ;   622,00 ;   800,00 ;   540,00 ;1100106003001
Área 002; 11 548 ; 6 349 ; 5 199 ;   827,08 ;  1 008,10 ;   606,04 ;   510,00 ;   600,00 ;   510,00 ;1100106003002
